Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-10-06,Perfect Blue,1997,https://boxd.it/bhtmC1,5,,"A movie about chastity, sexual objectification, the internet, depersonalization, being terminally online, and disassociative personalities. What happens when the vicarious vessel we live through, the ideal of chastity, betrays that ideal by having its own will? Has the internet become a way for the most mentally afflicted to aggregate and multiply their effects? Or was it always like that?

Satoshi Kon has created perhaps the perfect psychological thriller. One that plays with the viewer's perception of reality and makes them question what is happening after the credits roll. It's a movie about control, reliving a glorious past vicariously, agency, sexuality, violence, and who we are.

The central question being asked here is: who are you? The refrain is repeated throughout the movie. Who are you, the viewer? Do your collection of continuous memories constitute an identity? Can you even trust those memories? Are dreams any less than the waking world? The dreams of our imagination or even the dreams of sleep?

Perfect Blue asks all of these questions.",,2025-10-05
2025-10-25,Frankenstein,2025,https://boxd.it/btHCZ7,3.5,,"Extremely underwhelming. Isaac's performance was too hammy. The monster's design was too clean. A lot of nitpicky plot points make no sense (outside of being faithful to the material). Unnecessary love triangle. Unnecessary love between Elizabeth and the monster.

Take Shelley's Frankenstein. Remove all of the philosophical depth. No questions about mortality, creation, suffering, existence. Make it just a revenge plot.

That's this.

The more I watch of Del Toro the more I realize that the man should have as few creative liberties with a script as possible. He is just not a good script writer. He's a fantastic director with a keen visual eye and a great style. But the moment he starts writing everything goes by the wayside.

I really hoped for more out of this one. It pales when compared to Egger's Nosferatu.",,2025-10-24
2025-11-08,Bugonia,2025,https://boxd.it/bDmNzn,3,,This movie has no idea what it's trying to say,,2025-11-07
2025-11-15,Heretic,2024,https://boxd.it/bI4a7D,3,,Thinks it is smarter than it is. An incredible set-up that they did not know how to capitalize on. The ending was not totally the expected cliché but overall a disappointment.,,2025-11-14
2025-11-15,Caddo Lake,2024,https://boxd.it/bI4ayp,4.5,,Brilliant mind bender,,2025-11-14
2025-11-15,Conclave,2024,https://boxd.it/bI4coh,2.5,,"Slow burn i.e. extremely boring. The kind of movie people claim to like to signal they still have an attention span and are ""sophisticated"". For old people that get motion sickness while watching movies.",,2025-11-14
2025-11-16,Magnolia,1999,https://boxd.it/bJga3f,2.5,,An absolute mess of a film with nothing insightful to say about any of the topics it touches on. The dialogue is hanmy and overdone. The multitude of weaving plot threads don't intersect in any meaningful reveal or for any other reason than intersection. The pacing is rapidfire at the beginning then slows to a halt. Suddenly it's a musical. Suddenly there's an incredulous coincidence. It's like a Murakami fever dream if Murakami was boring and his characters one dimensional.,,2025-11-15
2025-11-29,Wake Up Dead Man,2025,https://boxd.it/bRIjll,4.5,,"Not much to say here. A good Agatha Christie style murder mystery. Twists and turns. A nice depiction of faith although the main character is a gay atheist. You knew what you were getting with Knives out and they delivered. This is a winning, focus group tested, distilled formula. They could make 100 of these and everyone would still watch them.

Daniel Craig has a knack for picking reprising roles in consistent series that can essentially go on forever without the audience getting tired of them.",,2025-11-28
2025-12-01,Train Dreams,2025,https://boxd.it/bTHa6R,4.5,,"""Just waiting to see what we've been left here for.""

A beautifully shot and emotionally compelling ""slow burn"" that manages to keep your attention the entire time. I wish there were more complexity to Granier's character. The film doesn't demand much from you, but is enthralling. The vicissitudes of an average life.",,2025-11-30
2025-12-01,Blade Runner,1982,https://boxd.it/bTKXzp,5,,"<i>I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhäuser Gate. All those moments will be lost in time, like tears in rain. Time to die.</i>",,2025-11-30
2025-12-02,Memories of Murder,2003,https://boxd.it/bUoX7Z,4.5,,Beautifully shot but just missing some narrative depth with the plot. Some of the most gorgeous cinematography you'll ever see.,,2025-12-01
2025-12-08,No Other Choice,2025,https://boxd.it/bYnNw5,5,,"A social commentary on techno-feudalism wrapped in a black comedy crime thriller. Some of the most striking transitions & modern editing I've ever seen. Gorgeously shot. At once astoundingly hilarious & simultaneously horrifying.

At it's heart a critique of what it takes to win the zero sum game job market in the AI era. Are you truly willing to do what it takes to succeed in an era that sees the Technique of technology consuming all of the world's resources to deposit it as capital in the pocketbooks of the elite?

Never before has society had more immediately available luxuries and efficiencies. Yet, we live in a constant state of stress since we own nothing. We own nothing and are legally regulated out of directly accessing resources. So we are forced to participate in a dog-eat-dog system with fewer and fewer winners.

No Other Choice demonstrates the ethical choices winners must make. What does it take to actually succeed in modern capitalism?",,2025-12-07
2025-12-20,Zootopia 2,2025,https://boxd.it/c7VCO7,4,,"You can tell a lot of love went into this by people that love the medium. Mostly a clichéd children's movie with just enough style, thoughtful messaging, witty writing, and self awareness to elevate it.",,2025-12-19
2025-12-30,The Count of Monte Cristo,2024,https://boxd.it/cjMc9d,5,,"A valuable retelling of Dumas' epic novel. Unfortunately, the shorter runtime means a lot of the thematic depth and plot nuances were lost. This is definitely the Spark Notes version for an audience raised on a diet of short form. That being said, a swashbuckling epic with many emotional highs and gripping throughout",,2025-12-30
2025-12-31,The Sixth Sense,1999,https://boxd.it/ckVMB5,5,,"One of the greatest films of all time. A sentimental horror with, perhaps, the most astounding twist in all of cinema. What a shame that Shyamalan has lived in the shadow of this masterpiece and been unable to move on.

Haley Joel Osment gives one of the best child performances you can hope to see، and Bruce Willis is equally stellar.

Toni Collette IS horror's mom.

That school is really screwed up, man.",,2025-12-30
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/cnaDKv,4,,"I feel like I just broke up with a toxic girlfriend this last ep was so emotionally manipulative

Also I didn't know decapitation was back in style

Jamie Bower was phenomenal

It's pretty ridiculous that some kids in Indiana went up against Cthulu though.",,2026-01-01
2026-01-07,Citizen Kane,1941,https://boxd.it/cuUKQl,3,,"From a historical perspective it is one of the most important and essential films ever created. Every film student & movie buff should see it just for that purpose. That being said, it certainly does not hold up at all today. It should not be viewed as a masterpiece that can contend with modern Hollywood, but rather an invaluable piece of cinema history.",,2026-01-06
2026-01-10,True Grit,1969,https://boxd.it/cxwyOh,3.5,,"John Wayne is the stiffest ""actor"" a person will ever lay eyes on",,2026-01-09
2026-01-10,The Wind Rises,2013,https://boxd.it/cxx837,3.5,,My least favorite Miyazaki movie. This is perhaps the only one that has no real reason to be an anime.,,2026-01-09
2026-01-17,All That's Left of You,2025,https://boxd.it/cFSXep,5,,"Seen at Middle East Books in DC:

A powerful journey demonstrating the unimpeachable value of the human spirit, while it is in this world and after it has passed on. An important & heartwrenching film. We need more stories like this in cinema. Deftly shot, acted, produced.",,2026-01-16
2026-01-18,Saloum,2021,https://boxd.it/cGLYvV,3.5,,Sinners prototype,,2026-01-17
2026-01-20,How Green Was My Valley,1941,https://boxd.it/cIZFqN,5,,I think this is way better than Citizen Kane.,,2026-01-19
2026-01-21,Beau Is Afraid,2023,https://boxd.it/cKuH3n,3,Yes,"The most self-indulgent and pretentious slog you'll ever have to endure. I get that Aster is trying to depict Jewish anxiety, especially about death (""You will find them to be the most covetous people of life, and from the polytheists. One of them wishes to live for a thousand years, though he would not escape torment were he to live that long."") & overbearing motherhood.

It has some fascinating scenes & interesting ideas but the entire thing just screams that someone should have told Aster, ""no."" If there were a very very significant amount of pushback & critique, this could have been something special. But Aster should not be given unrestricted creative license.",,2026-01-20
2026-02-04,It Was Just an Accident,2025,https://boxd.it/cYtWlP,3,,Very disappointing. Meandering. Directionless. Morally confused.,,2026-02-03
2026-02-09,Okja,2017,https://boxd.it/d2RDaH,3.5,,"A bizarre film. I guess intended to communicate the horror of mass animal slaughter & genetic modifications. Jake Gyllenhal is one of my favorite actors but this is his worst performance, although I think he did exactly what he was directed to do. A morally confused & strange piece.",,2026-02-08
2026-02-10,La Haine,1995,https://boxd.it/d4lUa9,5,,"""Do you believe in God? That's the wrong question. The correct question is: does God believe in us?""",,2026-02-09
2026-02-10,Monster,2023,https://boxd.it/d4lWmB,3.5,,So many good things about this film. So many things to admire. Sexualizing children is not one of them.,,2026-02-09
2026-02-13,The Royal Tenenbaums,2001,https://boxd.it/d6vS6H,4,,His style wasn't completely developed here,,2026-02-12
2026-02-15,Lady Vengeance,2005,https://boxd.it/d8ez0J,3.5,,Pretty disjointed. Some disorienting transitions. Very clearly the work of a Park Chan Wook in process.,,2026-02-14
2026-02-16,Blue Velvet,1986,https://boxd.it/d9lFU7,5,,"Does the fact that everyone has the capacity to both commit evil acts & enjoy the infliction of evil on others mean we cannot be truly loving and therefore happy? Or is it possible to transcend our darker natures of sadism & masochism? What happens when we confuse the purity of true love with the Shaytanic indulgences of violence?

This movie is quite restrained for David Lynch when compared to something like Mullholand Drive or Twin Peaks: The Return. I do find Lynch more enjoyable when there is a more tangible plot, however bizarre.",,2026-02-15
2026-02-16,Resurrection,2025,https://boxd.it/d9md3V,5,,"Seen at the National Museum of Asian Art, Freer Gallery:

The motion picture itself is a kind of rebellion against the ephemral nature of life. Everything that lives ultimately dies and is erased. A film is an attempt to capture a microcosm, to construct an ideal simulacrum of life and render it available for repeated future viewings.

This movie is a celebration of cinema's rebellion against transcience & a meditation on the beauty of impermanent things.

I don't typically enjoy anthologies. I would rather have one fully fleshed out idea than several half-baked ones. And each of the five stories here could have been their own movie.

What makes Resurrection unique is the clear central theme & persistent character of the delieriant. It is him dying & being reborn until the end of time, experiencing countless transient moments. Some of them are truly horrific, whereas others are full of indescribable joy.

Somehow Bi Gan has done the unthinkable. In a 2 1/2 hour runtime, he has crafted an amazing silent short, a supernatural crime noir, a meditative Buddhist ghost story, a charming adopted son crime drama, and a vampire romance. All within the context of a sci-fi dystopia. 

Typically, these kinds of films can come off as incredibly disjointed. That was my problem with Coogler's Sinners - too many good ideas packed into one story. Bi Gan could certainly have turned Resurrection into a series of films. Yet, there is a kind of emotional coherence & plot muddiness that makes this work.

Resurrection is also full of some of the best cinematography the medium has ever known. It is as if Bi Gan was able to distill some of the greatest shots in cinema history & give himself a canvas to weave them all together. Whether the shocking image of a Chinese detective in '60s clothing cutting open a covert operative only to catch aflame from the mystical dimension underneath his skin to a haunted Buddhist temple in the early morning being speckled by snow to the image of an estranged daughter's final burnt letter floating out of a box into the wind or a vampire crime overlord singing karaoke as his goons beat a man almost to death. Each of these pistáches is brought together in this kalodeiscopic tapestry of cinematic excellence.

In the end, Bi Gan pays his respects to the audience themselves. Casting us as beings of pure light in the cathedral of art, as each moviegoer fades into nothingness.

An absolutely singular ode to the always fading beauty of life & cinema.",,2026-02-15
2026-02-24,A Dog's Will,2000,https://boxd.it/dhjdZB,5,,"melhor filme ja visto na face da terra


ps: dont leave your credentials in a github repo :)",,2026-02-23
2026-02-26,A Dog's Will,2000,https://boxd.it/dj5kqN,5,,"melhor filme ja visto na face da terra


ps: dont leave your credentials in a github repo :)",,2026-02-23
